,Title,Description,Cast&Crew,Duration,Minimum price,Rating
21,Elektra,"Christine Goerke sings her first Elektra at the Met in Patrice Chéreau’s landmark production, a sensation at its Met premiere last spring, which the Wall Street Journal called “revolutionary … a triumph on all fronts.” Yannick Nézet-Séguin conducts Strauss’s shattering score, a tour de force for the singers and the orchestra alike.","Richard Strauss, Hugo van Hofmannsthal",115,30,0
22,Le Nozze di Figaro,"Two outstanding casts—including sopranos Nadine Sierra, Anita Hartig, Susanna Phillips, and Hanna-Elisabeth Müller; mezzo-sopranos Gaëlle Arquez and Marianne Crebassa; baritone Mariusz Kwiecien; and bass-baritones Luca Pisaroni and Adam Plachetka—come together for Mozart’s scintillating class comedy. Antonello Manacorda and Cornelius Meister conduct Sir Richard Eyre’s fast-paced production.",Daniele Rustioni,210,33,86
23,Funny Girl,"Beanie Feldstein will not perform from April 29 through May 2 and from August 26 through August 28.This bittersweet comedy is the story of the indomitable Fanny Brice, a girl from the Lower East Side who dreamed of a life on the stage. Everyone told her she’d never be a star, but then something funny happened—she became one of the most beloved performers in history, shining brighter than the brightest lights of Broadway.","Beanie Feldstein, Ramin Karimloo, Jane Lynch, Jared Grimes, Peter Francis James, Ephie Aardema, Debra Cardona, Toni DiBuono, Martin Moran",70,33,0
24,The Secret Garden,"Orphaned while living in India, 10-year-old Mary Lennox returns to Yorkshire, England to live with her embittered, reclusive Uncle Archibald, whom she has never met. There, the ill-tempered and lonely Mary meets Martha, a chambermaid, who tells her of a secret garden which belonged to her aunt Lily before she died. Mary’s search for the garden introduces her to a slew of other characters and a spirited robin that seems to be trying to talk to her.","Lucy Simon, Marsha Norman, Warren Carlyle",129,79,0
25,Little Girl Blue,"Little Girl Blue is an exuberant new musical with a tour-de-force performance by award-winning actor Laiona Michelle. From her ascension as classical music prodigy to “High Priestess of Soul” to civil rights activist, this story taps into the legend that is Nina Simone with an honest and powerful portrait of her rich life and her ultimate decline. Feel the passion, joy, and pain of a woman adored by millions – then and now.",Laiona Michelle,195,33,0
26,Hamlet,"In Heathers, Westerberg High is terrorized by a shoulder-padded, scrunchie-wearing junta: Heather, Heather and Heather, the hottest and cruelest girls in all of Ohio. But misfit Veronica Sawyer rejects their evil regime for a new boyfriend, the dark sexy stranger J.D., who plans to put the Heathers in their place—six feet under. Broadway royalty meets the Bard, as renowned actor Michael Cumpsty (star of Broadway’s The Constant Wife, Democracy and Copenhagen) brings Shakespeare’s immortal masterpiece vividly to life in this fresh, vibrant new production directed by CSC Artistic Director Brian Kulick. This production marks the second collaboration between Cumpsty and Kulick, the last being a critically-acclaimed production of Shakespeare’s lesser known play, Timon of Athens.","Brett Dean, Nicholas Carter",150,33,0
27,Heathers: The Musical,"In Heathers, Westerberg High is terrorized by a shoulder-padded, scrunchie-wearing junta: Heather, Heather and Heather, the hottest and cruelest girls in all of Ohio. But misfit Veronica Sawyer rejects their evil regime for a new boyfriend, the dark sexy stranger J.D., who plans to put the Heathers in their place—six feet under.","Charissa Hogeland, Dave Thomas Brown, Elle McLemore, Jessica Keenan Wynn, Kristolyn Lloyd",150,59,88
28,Jersey Boys,"Jersey Boys is a musical biography of the Four Seasons—the rise, the tough times and personal clashes, and the ultimate triumph of a group of friends whose music became symbolic of a generation. Far from a mere tribute concert (though it does include numbers from the popular Four Seasons songbook), Jersey Boys gets to the heart of the relationships at the center of the group—with a special focus on frontman Frankie Valli, the small kid with the big falsetto. In addition to following the quartet’s coming of age as performers, the core of the show is how an allegiance to a code of honor learned in the streets of their native New Jersey got them through a multitude of challenges: gambling debts, Mafia threats and family disasters. Jersey Boys is a glimpse at the people behind a sound that has managed to endure for over four decades in the hearts of the public.","Aaron De Jesus, CJ Pawlikowski, John Rochette, Jonathan Cable",150,49,0
29,Between the Lines,"Based on the novel by New York Times bestselling author Jodi Picoult and her daughter Samantha Van Leer, Between the Lines is an empowering and enchanting new musical for anyone who has ever sought to find their place in the world. An outsider in a new town and a new school, Delilah seeks comfort in the pages of her favorite book, where she feels heard and understood. But as the lines between fantasy and reality begin to blur in both extraordinary and astonishing ways, Delilah has to confront whether she alone has the power to rewrite her own story.","Arielle Jacobs, Jake David Smith, Vicki Lewis, Will Burton, Jerusha Cavazos, Pierre Marais, John Rapson, Julia Murney",150,55,0
30,The Lion King,"A lively stage adaptation of the Academy Award-winning 1994 Disney film, The Lion King is the story of a young lion prince living in the flourishing African Pride Lands. When an unthinkable tragedy, orchestrated by Simba’s wicked uncle, Scar, takes his father’s life, Simba flees the Pride Lands, leaving his loss and the life he knew behind. Eventually companioned by two hilarious and unlikely friends, Simba starts anew. But when weight of responsibility and a desperate plea from the now ravaged Pride Lands come to find the adult prince, Simba must take on a formidable enemy, and fulfill his destiny to be king.","Brandon A. McCall, L. Steven Taylor, Adrienne Walker, Tshidi Manye, Stephen Carlile, Cameron Pow, Ben Jeffrey, Fred Berman, Robb Sapp, James Brown-Orleans, Bonita J. Hamilton",150,89,91
31,A Strange Loop,"Meet Usher: a Black, queer writer writing a musical about a Black, queer writer writing a musical about a Black, queer writer... Michael R. Jackson’s Pulitzer Prize-winning, blisteringly funny masterwork exposes the heart and soul of a young artist grappling with desires, identity, and instincts he both loves and loathes. Hell-bent on breaking free of his own self-perception, Usher wrestles with the thoughts in his head, brought to life on stage by a hilarious, straight-shooting ensemble. Bold and heartfelt in its truth-telling, A Strange Loop is the big, Black, and queer-ass Great American Musical for all.","Jaquel Spivey, Antwayn Hopper, L Morgan Lee, John-Michael Lyles, James Jackson Jr., John-Andrew Morrison, Jason Veasey",100,49,0
32,Madama Butterfly,"Leading sopranos Hui He and Ana María Martínez share the heartbreaking title role of the doomed geisha, with tenors Piero Pretti and Andrea Carè as the American naval officer who abandons her. The great Plácido Domingo makes his role debut as Sharpless, alternating with Paulo Szot and Markus Brück. Pier Giorgio Morandi is on the podium for Anthony Minghella’s sweeping production, a perennial audience favorite.","Giacomo Puccini, Luigi Illica, Giuseppe Giacosa, Anthony Minghella",180,33,0
33,Man of La Mancha,"Based on Miquel de Cervantes’ Don Quixote, Man of La Mancha is set in 16th-century Spain during the Inquisition, the tale-within-a-tale finds poet/novelist Miguel de Cervantes imprisoned for acts against the Church.","Mitch Leigh, Joe Darion, Dale Wasserman",130,27,56
34,MJ The Musical,"He is one of the greatest entertainers of all time. Now, Michael Jackson’s unique and unparalleled artistry has finally arrived on Broadway in a brand-new musical. Centered around the making of his 1992 Dangerous World Tour, and created by Tony Award(R)-winning director/choreographer Christopher Wheeldon and two-time Pulitzer Prize winner Lynn Nottage, MJ goes beyond the singular moves and signature sound of the star, offering a rare look at the creative mind and collaborative spirit that catapulted Jackson into legendary status. Turn it up, Broadway—MJ is here!","Myles Frost, Quentin Earl Darrington, Whitney Bashor, Gabriel Ruiz, Antoine L. Smith, Walter Russell III, Christian Wilson, Joey Sorge, Tavon Olds-Sample, John Edwards, Ayana George, Apollo Levine, Devin Trey Campbell, Lamont Walker II, Zelig Williams",150,59,83
35,Mrs. Doubtfire,"Daniel Hillard, a struggling, out-of-work actor, will do anything for his kids. After losing custody in a messy divorce, he creates the kindly alter ego of Scottish nanny Euphegenia Doubtfire in a desperate attempt to stay in their lives. As his new character takes on a life of its own, Mrs. Doubtfire teaches Daniel more than he bargained for about how to be a father. A hilarious and heartfelt story about holding onto your loved ones against all odds, Mrs. Doubtfire is the musical comedy we need right now — one that proves we’re better together.","Rob McClure, Jenn Gambatese, Brad Oscar, Analise Scarpaci, Jake Ryan Flynn, J. Harrison Ghee, Mark Evans, Charity Angel Dawson, Avery Sell, Peter Bartlett, Jodi Kimura",155,49,81
36,The Office! A Musical Parody,"It’s a typical morning at Scranton’s third largest paper company until, for no logical reason, a documentary crew begins filming the lives of the employees of Dunder Mifflin. Don’t miss this hilariously loving lampoon of your favorite TV show! Step into Dunder Mifflin in this immersive parody experience and “work” with all your favorite officemates.","Bob McSmith, Tobly McSmith, Assaf Gleizner, Donald Garverick, Josh Iacovelli, Alex Stevens, Dustin Cross, Matthew Fischer, Tegan Miller",120,39,72
37,Once Upon a One More Time,"In Once Upon a One More Time, Cinderella, Snow White and the other fairytale princesses gather for their book club when a rogue fairy godmother drops The Feminine Mystique into their corseted laps, spurring a royal revelation.","Britney Spears, Jon Hartmere, Kristin Hanggi, Keone and Mari Madrid",140,0,0
38,The Devil Wears Prada,"The Devil Wears Prada follows aspiring writer Andy Sachs as she lands a job as an assistant to notorious Runway Editor-in-Chief Miranda Priestly. The new gig demands 15-hour workdays, an impossibly demanding list of chores, a demoralizing trip to Paris and an extensive makeover montage. Andy eventually finds her way and realizes that fashion is more than clothes and ""this stuff,"" forcing her to determine her own set of morals in the merciless industry.","Beth Leavel, Taylor Iman Jones",130,0,0
39,The Little Prince,"The Little Prince tells the story of a young prince who visits various planets in space, including Earth, and addresses themes of loneliness, friendship, love and loss.","Lionel Zalachas, Aurélien Bednarek, Chris Mouron, Adrien Picaut, Antony Cesar, Andre Kamienski, Marcin Janiak, Srilata Ray, Dylan Barone",110,59,0
40,Rigoletto,"Michael Mayer’s hit production of Rigoletto places the action in a neon-bedecked Las Vegas in 1960. Stephen Costello and Joseph Calleja alternate as the womanizing Duke, Olga Peretyatko is the innocent Gilda, and Željko Lučić reprises his heartbreaking take on the tragic title role. Pier Giorgio Morandi conducts.","Giuseppe Verdi, Michael Mayer, Francesco Maria Piave, Christine Jones, Susan Hilferty, Kevin Adams, Steven Hoggett",160,33,83
41,Rock of Ages,"The original Broadway smash-hit production is back to celebrate its 10th anniversary. This five-time Tony Award-nominated musical tells the story of a small-town girl, a city boy, and a rock ‘n’ roll romance on the Sunset Strip. But when the bar where rock reigns supreme is set to be demolished, it’s up to these wannabe rockers and their band of friends to save the day – and the music. Rock of Ages’ electric score features all your favorite ‘80s rock anthems and power ballads, including: “Every Rose Has It’s Thorn,” “I Wanna Know What Love Is,” “Here I Go Again,” “Don’t Stop Believin’,” and more!","CJ Eldred, Kirsten Scott, Mitchell Jarvis, PJ Griffith, Matt Ban, Dane Biren, Tiffany Engen, Paul Schoeffler",140,0,83
42,Mr. Saturday Night,"Mr. Saturday Night is the story of Buddy Young Jr., an outrageous and outspoken comedian who found fame, if not fortune, in the early days of television. Now, some 40 years after his TV career flamed out, Buddy seeks one more shot at the spotlight, and while he’s at it, one last shot at fixing the family he fractured along the way.","Billy Crystal, Randy Graff, David Paymer, Chasten Harmon, Shoshana Bean",0,199,0
43,Little Shop of Horrors,"Based on the 1960 film by Roger Corman and featuring a book by Howard Ashman, music by Alan Menken and lyrics by Ashman, Little Shop follows meek plant store attendant Seymour, his co-worker crush Audrey, her sadistic dentist of a boyfriend and the man-eating plant that threatens them and the world as we know it.","Conrad Ricamora, Tammy Blanchard, Christian Borle, Aaron Arnell Harrington, Tom Alan Robbins, Salome Smith, Aveena Sawyer, Joy Woods",120,69,90
44,Sing Street,"Dublin, 1982. Everyone is out of work. Thousands are seeking bluer skies across the Irish Sea. Sixteen-year-old Conor and his schoolmates turn to music to escape troubles at home and impress a mysterious girl. With a score that embraces the new wave sounds of the era, Sing Street celebrates the thrill of first love and the power of music.","Max Bartos, Brendan C. Callahan, Billy Carter, Zara Devlin, Anthony Genovesi, Gus Halper, Jakeim Hart, Martin Moran, Anne L. Nathan, Johnny Newcomb, Brenock O’Connor, Gian Perez, Sam Poon, Skyler Volpe, Amy Warren",135,0,80
45,Paradise Square,"New York, 1863. As the Civil War rages on, free Black Americans and Irish immigrants live and love together in the unlikeliest of neighborhoods – the dangerous streets and crumbling tenement houses of Lower Manhattan’s notorious Five Points slum. The amalgamation between the communities took its most exuberant form with raucous dance contests on the floors of the neighborhood bars and dance halls. It is here in the Five Points where tap dancing was born. But this racial equilibrium would come to a sharp and brutal end when President Lincoln’s need to institute the first Federal Draft to support the Union Army would incite the deadly NY Draft Riots of July 1863. Within this galvanizing story of racial harmony undone by a country at war with itself, we meet the denizens of a local saloon called Paradise Square. These characters include the indomitable Black woman who owns it; her Irish-Catholic sister-in-law and her Black minister husband; a conflicted newly arrived Irish immigrant; a fearless freedom seeker; an anti-abolitionist political boss; and a penniless songwriter trying to capture it all. They have conflicting notions of what it means to be an American while living through one of the most tumultuous eras in our country’s history. With visceral and nuanced staging and choreography that captures the pulsating energy when Black and Irish cultures meet and set to a contemporary score that reimagines early American song, Paradise Square depicts an overlooked true-life moment when hope and possibility shone bright.","Joaquina Kalukango, Chilina Kennedy, John Dossett, Nathaniel Stampley, Matt Bogart, A.J. Shively, Sidney DuPont, Kevin Dennis, Jacob Fishel, Gabrielle McClinton",155,39,0
46,Stomp,"Stomp is a joyful, witty and wordless show that has been seen all over the world. An eight-member cast with energy to burn creates beautiful music and sly humor with found objects: Zippo lighters, push brooms, wooden poles, hammer handles, garbage cans, inner tubes, matchboxes—and yes, even the kitchen sink. There’s no traditional narrative; both household and industrial objects find new life as musical instruments in this unique combination of percussion, movement and visual comedy. It is a journey through sound, a celebration of the everyday and a comic interplay of characters wordlessly communicating through dance and drum.","Luke Cresswell, Steve McNicholas, Neil Tiplady",105,49,83
47,Tina — The Tina Turner Musical,"Tina follows Tina Turner from her humble beginnings in Nutbush, Tennessee, to her transformation into the global queen of rock ‘n’ roll. Born Anna Mae Bullock in 1939, Turner rose to fame in the 1960s alongside her husband Ike. She later revealed in her autobiography that she had suffered domestic abuse at his hands—they separated in 1976 and divorced two years later. Turner later made a massive comeback in the 1980s. The Queen of Rock ‘n’ Roll has sold 180 million records worldwide and been honored with 11 Grammy Awards.","Nkeki Obi-Melekwe, Nick Rashad Burroughs, NaTasha Yvette Williams, Myra Lucretia Taylor, Kayla Davion",165,59,86
48,Tosca,"Soprano Anna Netrebko, whom the New York Times hailed as “magnificent” when she made her role debut as Tosca in 2018, returns as Puccini’s explosive diva, back by popular demand. Tenors Najmiddin Mavlyanov and Brian Jagde alternate as the idealistic painter Cavaradossi, and baritones George Gagnidze and Michael Volle complete the opera’s fatal love triangle as the sinister Scarpia. Bertrand de Billy conducts Sir David McVicar’s stunning production.","Giacomo Puccini, Giuseppe Giacosa, Luigi Illica, Luc Bondy, Richard Peduzzi, Milena Canonero, Max Keller",180,33,89
49,Turandot,"Two of opera’s most thrilling dramatic sopranos, Christine Goerke and Nina Stemme, reprise their fierce portrayals of the title princess. Yannick Nézet-Séguin takes the podium to conduct Franco Zeffirelli’s dazzling production of Puccini’s final masterpiece, which also features tenors Roberto Aronica and Marco Berti as Calàf, sopranos Eleonora Buratto and Hibla Gerzmava as Liù, and bass-baritone James Morris as Timur.","Giacomo Puccini, Giuseppe Adami, Renato Simoni, Franco Zeffirelli, Dada Saligeri, Anna Anni, Gil Wechsler, Chiang Ching",195,33,88
50,David Byrne’s American Utopia,"""The best live show of all time."" Right on time. We could all use a little Utopia right now, and David Byrne’s American Utopia is burning down a brand new house on Broadway! This production – featuring “astonishing” staging by choreographer Annie-B Parson, with Alex Timbers serving as production consultant – is “a joy to behold and a breathtaking celebration of life."" Don’t miss all the great songs and all the acclaimed musicians, all blowing the roof off a gorgeous new venue. This is the event that will tell the world, if you want to rediscover the joy of live music, community and connection, Broadway’s St. James Theatre must be the place!","David Byrne, Jacquelene Acevedo, Gustavo Di Dalva, Daniel Freedman, Chris Giarmo, Tim Keiper Tendayi Kuumba, Karl Mansfield, Mauro Refosco, Stephane San Juan, Angie Swan, Bobby Wooten III",100,59,88
51,Into the Woods,"With only 10 actors, one piano and boundless imagination, this witty and wildly theatrical re-invention is Into the Woods like you’ve never seen it before! Mind the wolf, heed the witch and honor the giant in the sky at this extraordinary musical about the power of wishes and what really happens after they come true.","Jessie Austrian, Noah Brody, Paul L. Coffey, Andy Grotelueschen, Liz Hayes, Claire Karpen, Jennifer Mudge, Patrick Mulryan, Ben Steinfeld, Emily Young",160,33,88
52,110 in the Shade,"Based on Nash’s 1954 play The Rainmaker, it focuses on Lizzie Curry, a spinster living on a ranch in the American southwest, and her relationships with local sheriff File, a cautious divorcé who fears being hurt again, and charismatic con man Bill Starbuck, posing as a rainmaker who promises the locals he can bring relief to the drought-stricken area. Nash’s book is faithful to his original play, although all the interior scenes were moved outdoors to allow for the addition of townspeople for ensemble numbers and dances. Many of Jones’ lyrics come directly from Nash’s play.","Robert Horton, Inga Swenson, Stephen Douglass",150,0,0
